Date,Adj Close,Virus,Flu,Vaccine,Policy
2010-11-01,45.505032,5,12,13,0
2010-12-01,46.120327,5,16,9,0
2011-01-01,44.569313,5,18,12,0
2011-02-01,45.81459,5,13,12,0
2011-03-01,44.58112,5,9,13,0
2011-04-01,49.44931,5,7,12,0
2011-05-01,50.630608,5,5,13,0
2011-06-01,50.485352,5,5,12,0
2011-07-01,49.172356,4,5,12,0
2011-08-01,49.938911,4,5,13,0
2011-09-01,48.768158,4,9,17,0
2011-10-01,49.30415,4,13,17,0
2011-11-01,49.556843,4,11,15,0
2011-12-01,50.681366,5,10,12,0
2012-01-01,50.936405,4,9,13,0
2012-02-01,50.294964,4,10,13,0
2012-03-01,51.425308,4,9,12,0
2012-04-01,50.754814,4,7,14,0
2012-05-01,48.673164,4,6,15,0
2012-06-01,53.185505,4,5,14,0
2012-07-01,54.49231,6,6,16,0
2012-08-01,53.08316,7,6,16,0
2012-09-01,54.741222,6,10,17,0
2012-10-01,56.258495,4,14,17,0
2012-11-01,55.392609,4,12,15,0
2012-12-01,56.178978,4,18,13,0
2013-01-01,59.240391,4,38,19,0
2013-02-01,60.995483,4,15,13,0
2013-03-01,65.861771,4,10,13,0
2013-04-01,68.8507,4,10,14,0
2013-05-01,68.002487,4,6,14,0
2013-06-01,69.881012,4,5,15,0
2013-07-01,76.099182,4,5,14,0
2013-08-01,70.328651,4,6,16,0
2013-09-01,71.088142,4,10,19,0
2013-10-01,75.942719,4,16,20,0
2013-11-01,77.623772,4,13,17,0
2013-12-01,75.6306,4,15,14,0
2014-01-01,73.05426,4,25,17,0
2014-02-01,76.068253,4,13,14,0
2014-03-01,81.697281,4,10,14,0
2014-04-01,84.242264,4,8,16,0
2014-05-01,84.383652,4,7,15,0
2014-06-01,87.618217,3,6,15,0
2014-07-01,83.824387,4,5,15,0
2014-08-01,86.872856,7,6,17,100
2014-09-01,89.87188,6,11,19,0
2014-10-01,90.875237,11,19,27,0
2014-11-01,91.271538,4,13,17,0
2014-12-01,88.742943,4,20,15,0
2015-01-01,84.983429,4,22,20,0
2015-02-01,86.994713,4,23,28,0
2015-03-01,85.971428,4,16,17,0
2015-04-01,84.774994,3,11,16,0
2015-05-01,85.578331,3,8,16,0
2015-06-01,83.895378,3,7,17,0
2015-07-01,86.262634,3,6,17,0
2015-08-01,80.899727,3,7,18,0
2015-09-01,80.97213,3,11,21,0
2015-10-01,87.633789,3,17,22,0
2015-11-01,87.815948,3,13,17,0
2015-12-01,89.756516,3,11,14,0
2016-01-01,91.259468,6,11,14,0
2016-02-01,91.932289,8,14,16,0
2016-03-01,95.23008,5,15,15,0
2016-04-01,98.64502,5,10,17,0
2016-05-01,99.1819,4,9,15,0
2016-06-01,107.522087,4,7,16,0
2016-07-01,111.005669,4,6,17,0
2016-08-01,105.784683,5,7,19,0
2016-09-01,105.41066,4,12,20,84
2016-10-01,103.501083,3,17,20,0
2016-11-01,99.316086,3,13,16,0
2016-12-01,103.515472,3,14,14,0
2017-01-01,101.75444,3,18,17,0
2017-02-01,109.804947,3,20,17,0
2017-03-01,112.647919,3,14,16,73
2017-04-01,111.671112,3,10,17,0
2017-05-01,115.994339,3,9,17,0
2017-06-01,120.441719,3,7,18,0
2017-07-01,120.833206,3,7,18,80
2017-08-01,120.514534,3,10,20,76
2017-09-01,119.118851,3,14,20,0
2017-10-01,127.731407,3,19,22,75
2017-11-01,127.658134,3,16,20,0
2017-12-01,128.799377,3,22,17,0
2018-01-01,127.388985,3,60,21,70
2018-02-01,119.7285,3,47,21,0
2018-03-01,118.890167,3,17,19,0
2018-04-01,117.350105,3,12,20,0
2018-05-01,110.976532,3,9,19,72
2018-06-01,113.407158,2,8,20,73
2018-07-01,123.856239,2,7,21,0
2018-08-01,125.884377,3,8,23,70
2018-09-01,129.997437,3,14,23,0
2018-10-01,131.709808,3,24,27,0
2018-11-01,138.211044,2,18,22,70
2018-12-01,122.190071,2,18,18,0
2019-01-01,126.005859,3,23,22,0
2019-02-01,129.376602,3,27,26,0
2019-03-01,133.236984,3,19,26,0
2019-04-01,134.580887,2,14,30,0
2019-05-01,125.002029,2,11,28,0
2019-06-01,133.659256,2,10,24,0
2019-07-01,124.964874,2,8,22,0
2019-08-01,123.179932,3,9,24,0
2019-09-01,125.089134,3,15,25,67
2019-10-01,127.660904,3,24,28,0
2019-11-01,132.930176,2,21,23,0
2019-12-01,142.009354,3,25,20,0
2020-01-01,144.929947,11,36,24,0
2020-02-01,130.920807,20,47,29,0
2020-03-01,128.473511,100,100,64,0
2020-04-01,147.000412,38,47,56,0
2020-05-01,145.736557,15,25,55,0
2020-06-01,138.73616,10,16,44,0
2020-07-01,143.797073,9,22,67,58
2020-08-01,151.344055,6,18,62,0
2020-09-01,147.852615,5,28,63,0
2020-10-01,136.163834,5,34,57,0
2020-11-01,143.68158,5,22,100,0
