Date,Adj Close,Virus,Vaccine
2019/12/2,136.664658,2,15
2019/12/9,137.638184,2,14
2019/12/16,142.194305,2,13
2019/12/23,141.892517,2,11
2019/12/30,140.461426,2,12
2020/1/6,141.220779,2,15
2020/1/13,145.222015,2,15
2020/1/20,144.394516,14,16
2020/1/27,144.929947,32,20
2020/2/3,147.870026,18,18
2020/2/10,146.156601,14,17
2020/2/17,145.961884,12,16
2020/2/24,130.920807,32,25
2020/3/2,139.152679,41,31
2020/3/9,131.569473,73,51
2020/3/16,117.461205,100,73
2020/3/23,120.664963,82,65
2020/3/30,131.45192,51,57
2020/4/6,138.368896,36,51
2020/4/13,148.940308,27,47
2020/4/20,151.722778,23,53
2020/4/27,145.285873,18,50
2020/5/4,145.687561,16,60
2020/5/11,147.392319,14,50
2020/5/18,141.445267,12,55
2020/5/25,146.746811,10,40
2020/6/1,145.31633,9,36
2020/6/8,140.235687,9,39
2020/6/15,141.893066,8,42
2020/6/22,135.954132,8,44
2020/6/29,139.071579,9,49
2020/7/6,140.452713,7,49
2020/7/13,147.33873,7,78
2020/7/20,146.12529,7,68
2020/7/27,143.797073,6,56
2020/8/3,146.598831,6,54
2020/8/10,146.243683,6,84
2020/8/17,150.702789,5,53
2020/8/24,151.570953,5,46
2020/8/31,147.564606,5,50
2020/9/7,146.760193,5,52
2020/9/14,148.150528,5,49
2020/9/21,144.654831,5,47
2020/9/28,145.230835,5,46
2020/10/5,149.928192,5,44
2020/10/12,147.078003,5,45
2020/10/19,144.237732,5,46
2020/10/26,136.163834,5,44
2020/11/2,141.268356,4,36
2020/11/9,148.86557,5,94
2020/11/16,145.350006,5,82
2020/11/23,143.006287,4,71
2020/11/30,144.679993,4,100
